x position        y position        field value
    0.89        0.57        9.72258
    0.9        0.57        9.74272
    0.91        0.57        9.76356
    0.92        0.57        9.78514
    0.93        0.57        9.80745
    0.94        0.57        9.83052
    0.95        0.57        9.85435
    0.96        0.57        9.87896
    0.97        0.57        9.90438
    0.98        0.57        9.9306
    0.99        0.57        9.95767
    1        0.57        9.98559
    0.51        0.58        9.38235
    0.52        0.58        9.38312
    0.53        0.58        9.38433
    0.54        0.58        9.38598
    0.55        0.58        9.38807
    0.56        0.58        9.3906
    0.57        0.58        9.39335
    0.58        0.58        9.39632
    0.59        0.58        9.39951
    0.6        0.58        9.40292
    0.61        0.58        9.40679
    0.62        0.58        9.41111
    0.63        0.58        9.41589
    0.64        0.58        9.42114
    0.65        0.58        9.42685
    0.66        0.58        9.43304
    0.67        0.58        9.43971
    0.68        0.58        9.44686
    0.69        0.58        9.4545
    0.7        0.58        9.46265
    0.71        0.58        9.4713
    0.72        0.58        9.48046
    0.73        0.58        9.49014
    0.74        0.58        9.50035
    0.75        0.58        9.5111
    0.76        0.58        9.52239
    0.77        0.58        9.53424
    0.78        0.58        9.54666
    0.79        0.58        9.55965
    0.8        0.58        9.57322
    0.81        0.58        9.58739
    0.82        0.58        9.60216
    0.83        0.58        9.61755
    0.84        0.58        9.63357
    0.85        0.58        9.65023
    0.86        0.58        9.66754
    0.87        0.58        9.68552
    0.88        0.58        9.70416
    0.89        0.58        9.7235
    0.9        0.58        9.74354
    0.91        0.58        9.76429
    0.92        0.58        9.78577
    0.93        0.58        9.808
    0.94        0.58        9.83097
    0.95        0.58        9.85472
    0.96        0.58        9.87926
    0.97        0.58        9.90459
    0.98        0.58        9.93075
    0.99        0.58        9.95776
    1        0.58        9.98562
    0.51        0.59        9.38535
    0.52        0.59        9.3861
    0.53        0.59        9.38728
    0.54        0.59        9.3889
    0.55        0.59        9.39096
    0.56        0.59        9.39346
    0.57        0.59        9.39639
    0.58        0.59        9.39955
    0.59        0.59        9.40292
